data_shape,primary_engine,variation,composite_helper,canonical_link,questions
Tree / Trie,Monotonic Stack,Next-greater / monotonic boundary stack,+ Greedy Check,Canonical: Daily Temperatures / Largest Rectangle,1
Tree / Trie,Prefix / Suffix Precompute,Difference-array accumulation,+ Hash Map + Tree + Intervals/Geometry,Canonical: Prefix/Suffix extrema accumulation,1
Tree / Trie,Prefix / Suffix Precompute,Prefix/suffix extrema or counts,+ Hash Map + Counting + Bitmask,Canonical: Prefix/Suffix extrema accumulation,1
Tree / Trie,Prefix / Suffix Precompute,Range-sum precompute,+ Bitmask,Canonical: Range Sum Query,1
Tree / Trie,Hash Map,Direct keyed lookup,+ Bitmask,Canonical: Direct lookup dictionary,1
Tree / Trie,Hash Map,Direct keyed lookup,+ Hash Set,Canonical: Direct lookup dictionary,1
Tree / Trie,Hash Map,Direct keyed lookup,+ Math,Canonical: Direct lookup dictionary,1
Tree / Trie,Hash Map,Direct keyed lookup,+ Prefix/Suffix + Math,Canonical: Direct lookup dictionary,1
Tree / Trie,Hash Map,Direct keyed lookup,+ Sorting,Canonical: Direct lookup dictionary,1
Tree / Trie,Hash Map,Direct keyed lookup,+ Sorting + Tree,Canonical: Direct lookup dictionary,1
Tree / Trie,Hash Map,Direct keyed lookup,+ Tree + Intervals/Geometry,Canonical: Direct lookup dictionary,1
Tree / Trie,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,1
Matrix / Grid,Custom Exact Technique,Exact custom / named technique,+ Graph + Math,Canonical: Exact custom named technique,1
Matrix / Grid,Custom Exact Technique,Exact custom / named technique,+ Grid,Canonical: Exact custom named technique,1
Matrix / Grid,Custom Exact Technique,Exact custom / named technique,+ Hash Set,Canonical: Exact custom named technique,1
Matrix / Grid,Custom Exact Technique,Exact custom / named technique,+ Prefix/Suffix,Canonical: Exact custom named technique,1
Matrix / Grid,Custom Exact Technique,Exact custom / named technique,+ String Parsing,Canonical: Exact custom named technique,1
Matrix / Grid,DFS,Flood-fill / component DFS,+ Graph,Canonical: Number of Islands,1
Matrix / Grid,DFS,Flood-fill / component DFS,+ Grid + Trie,Canonical: Number of Islands,1
Matrix / Grid,DFS,Flood-fill / component DFS,+ Hash Set,Canonical: Number of Islands,1
Matrix / Grid,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,1
Matrix / Grid,Bit / Mask,Bitwise state manipulation,None,Canonical: Bit manipulation,1
Matrix / Grid,Bit / Mask,XOR / parity logic,+ Math,Canonical: Single Number / XOR invariant,1
Matrix / Grid,Bit / Mask,XOR / parity logic,+ Tree + Segment/Fenwick + Math,Canonical: Single Number / XOR invariant,1
Matrix / Grid,Counting,Count-driven scan,+ Greedy Check + Math + Intervals/Geometry,Canonical: Frequency counting,1
Matrix / Grid,Counting,Frequency counting,+ Math,Canonical: Frequency counting,1
Matrix / Grid,Counting,Frequency counting,+ Tree + Segment/Fenwick + Math,Canonical: Frequency counting,1
Matrix / Grid,Custom Exact Technique,Exact custom / named technique,+ Counting,Canonical: Exact custom named technique,1
Tree / Trie,Tree,LCA query,+ Prefix/Suffix,Canonical: Lowest Common Ancestor,1
Tree / Trie,Tree,LCA query,+ Prefix/Suffix + Bitmask,Canonical: Lowest Common Ancestor,1
Matrix / Grid,Backtracking,Permutation / choice-tree generation,None,Canonical: Permutations / combinations search,1
Matrix / Grid,Binary Search,Answer-space binary search,+ Tree + Segment/Fenwick + Math,Canonical: Koko Eating Bananas,1
Matrix / Grid,Binary Search,Answer-space binary search,None,Canonical: Koko Eating Bananas,1
Matrix / Grid,Binary Search,Boundary / insertion search,+ Prefix/Suffix + Grid,Canonical: First/Last Position in Sorted Array,1
Matrix / Grid,Binary Search,Exact / partition binary search,+ Prefix/Suffix,Canonical: Binary Search / median partition,1
Matrix / Grid,Binary Search,Exact / partition binary search,+ Prefix/Suffix + Greedy Check,Canonical: Binary Search / median partition,1
Tree / Trie,Sliding Window,Variable-size window,+ Hash Map + Counting,Canonical: Minimum Window / variable-size window,1
Tree / Trie,Sliding Window,Variable-size window,+ Hash Set + Counting,Canonical: Minimum Window / variable-size window,1
Tree / Trie,Sliding Window,Variable-size window,+ String Parsing,Canonical: Minimum Window / variable-size window,1
Tree / Trie,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,1
Tree / Trie,Stack,LIFO state maintenance,+ Greedy Check,Canonical: Valid Parentheses,1
Tree / Trie,Tree,Inorder traversal / BST order,+ Hash Set,Canonical: Inorder Traversal / BST validation,1
Tree / Trie,Tree,LCA query,+ Graph,Canonical: Lowest Common Ancestor,1
Tree / Trie,Tree,LCA query,+ Math,Canonical: Lowest Common Ancestor,1
Linked List,Two Pointers,Fast-slow chase,None,Canonical: Linked List Cycle,1
Linked List,Two Pointers,Same-direction merge / fill,+ Sorting,Canonical: Merge / reverse linked-list pointers,1
Matrix / Grid,BFS,Single-source breadth-first traversal,+ Bitmask + Grid,Canonical: Rotting Oranges / 01 Matrix,1
Matrix / Grid,BFS,Single-source breadth-first traversal,+ Graph + Grid + Math,Canonical: Rotting Oranges / 01 Matrix,1
Matrix / Grid,BFS,Single-source breadth-first traversal,+ Greedy Check,Canonical: Rotting Oranges / 01 Matrix,1
Matrix / Grid,BFS,Single-source breadth-first traversal,+ Heap + Stack,Canonical: Rotting Oranges / 01 Matrix,1
Matrix / Grid,BFS,Single-source breadth-first traversal,+ Math,Canonical: Rotting Oranges / 01 Matrix,1
Matrix / Grid,BFS,Single-source breadth-first traversal,+ Sorting,Canonical: Rotting Oranges / 01 Matrix,1
Matrix / Grid,Hash Map,Frequency dictionary,+ Counting + Intervals/Geometry,Canonical: Group Anagrams / frequency map,1
Matrix / Grid,Hash Map,Pattern/signature map,None,Canonical: Isomorphic Strings / pattern hash,1
Matrix / Grid,Hash Set,Uniqueness / seen-set check,+ Grid,Canonical: Contains Duplicate / seen-set uniqueness,1
Linked List,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Map,Canonical: Range Sum Query,1
Linked List,Simulation / Scan / Precompute,Direct simulation / scan,None,Canonical: Direct simulation,1
Linked List,Topological Sort,DAG ordering / prerequisite resolution,+ Sorting,Canonical: Course Schedule,1
Linked List,Tree,LCA query,None,Canonical: Lowest Common Ancestor,1
Linked List,Tree,Recursive subtree aggregation,None,Canonical: Binary Tree recursion,1
Matrix / Grid,Dynamic Programming,State-transition DP,+ Greedy Check,Canonical: Coin Change / state-transition DP,1
Matrix / Grid,Dynamic Programming,State-transition DP,+ Greedy Check + Graph,Canonical: Coin Change / state-transition DP,1
Matrix / Grid,Dynamic Programming,State-transition DP,+ Greedy Check + Graph + Math,Canonical: Coin Change / state-transition DP,1
Matrix / Grid,Dynamic Programming,State-transition DP,+ Sorting,Canonical: Coin Change / state-transition DP,1
Matrix / Grid,Greedy,Local-choice optimization,+ Math,Canonical: Gas Station / local-choice greedy,1
Matrix / Grid,Greedy,Local-choice optimization,+ Prefix/Suffix,Canonical: Gas Station / local-choice greedy,1
Matrix / Grid,Greedy,Sort-then-greedy,+ Sorting,Canonical: Merge Intervals / scheduling greedy,1
Matrix / Grid,Hash Map,Direct keyed lookup,+ Hash Set + String Parsing + Math,Canonical: Direct lookup dictionary,1
Matrix / Grid,DFS,Flood-fill / component DFS,+ Sorting,Canonical: Number of Islands,1
Matrix / Grid,Dynamic Programming,1D DP,+ Greedy Check,Canonical: Climbing Stairs / House Robber,1
Matrix / Grid,Dynamic Programming,1D DP,+ Math,Canonical: Climbing Stairs / House Robber,1
Matrix / Grid,Dynamic Programming,2D DP,+ Bitmask,Canonical: Edit Distance / Grid DP,1
Matrix / Grid,Dynamic Programming,2D DP,+ Prefix/Suffix,Canonical: Edit Distance / Grid DP,1
Matrix / Grid,Dynamic Programming,Memoized DP,+ DFS/Recursion,Canonical: Coin Change (top-down),1
Matrix / Grid,Dynamic Programming,Memoized DP,+ Intervals/Geometry,Canonical: Coin Change (top-down),1
Matrix / Grid,Dynamic Programming,Memoized DP,+ Math,Canonical: Coin Change (top-down),1
Matrix / Grid,Monotonic Stack,Boundary / histogram stack,+ Counting,Canonical: Daily Temperatures / Largest Rectangle,1
Matrix / Grid,Monotonic Stack,Boundary / histogram stack,+ Counting + Sorting + Greedy Check,Canonical: Daily Temperatures / Largest Rectangle,1
Matrix / Grid,Prefix / Suffix Precompute,Difference-array accumulation,None,Canonical: Prefix/Suffix extrema accumulation,1
Matrix / Grid,Prefix / Suffix Precompute,Prefix/suffix extrema or counts,None,Canonical: Prefix/Suffix extrema accumulation,1
Matrix / Grid,Prefix / Suffix Precompute,Prefix/suffix products,None,Canonical: Product of Array Except Self,1
Matrix / Grid,Prefix / Suffix Precompute,Range-sum precompute,+ Counting,Canonical: Range Sum Query,1
Matrix / Grid,Prefix / Suffix Precompute,Range-sum precompute,+ Grid,Canonical: Range Sum Query,1
Matrix / Grid,Prefix / Suffix Precompute,Range-sum precompute,+ Intervals/Geometry,Canonical: Range Sum Query,1
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Hash Set,Canonical: Grid traversal / DP scan,1
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Hash Set + Greedy Check + Bitmask,Canonical: Grid traversal / DP scan,1
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Hash Set + Intervals/Geometry,Canonical: Grid traversal / DP scan,1
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Intervals/Geometry,Canonical: Grid traversal / DP scan,1
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Math + Intervals/Geometry,Canonical: Grid traversal / DP scan,1
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Prefix/Suffix + Math,Canonical: Grid traversal / DP scan,1
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Sorting,Canonical: Grid traversal / DP scan,1
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Sorting + Bitmask,Canonical: Grid traversal / DP scan,1
Matrix / Grid,Backtracking,Permutation / choice-tree generation,+ Stack,Canonical: Permutations / combinations search,1
Matrix / Grid,Hash Set,Uniqueness / seen-set check,+ Intervals/Geometry,Canonical: Contains Duplicate / seen-set uniqueness,1
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Counting + Math,Canonical: Grid traversal / DP scan,1
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Counting + Sorting,Canonical: Grid traversal / DP scan,1
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Graph + Math,Canonical: Grid traversal / DP scan,1
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Greedy Check + Math + Intervals/Geometry,Canonical: Grid traversal / DP scan,1
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Hash Map + Prefix/Suffix,Canonical: Grid traversal / DP scan,1
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Hash Map + Sorting,Canonical: Grid traversal / DP scan,1
Matrix / Grid,BFS,Single-source breadth-first traversal,+ Sorting + Heap,Canonical: Rotting Oranges / 01 Matrix,1
Matrix / Grid,Backtracking,Choice tree with undo,+ Bitmask,Canonical: Permutations / combinations search,1
Matrix / Grid,Backtracking,Choice tree with undo,+ Hash Set + Intervals/Geometry,Canonical: Permutations / combinations search,1
Matrix / Grid,Backtracking,Choice tree with undo,None,Canonical: Combination Sum,1
Matrix / Grid,Backtracking,Combination search,+ Prefix/Suffix + Math,Canonical: Permutations / combinations search,1
Matrix / Grid,Backtracking,Combination search,None,Canonical: Permutations / combinations search,1
Matrix / Grid,Backtracking,Constraint placement backtracking,+ Counting,Canonical: N-Queens,1
Matrix / Grid,Backtracking,Constraint placement backtracking,None,Canonical: N-Queens,1
Linked List,DFS,Depth-first traversal,+ Stack,Canonical: Depth-first component exploration,1
Linked List,DFS,Depth-first traversal,+ Tree,Canonical: Depth-first component exploration,1
Linked List,DFS,Depth-first traversal,None,Canonical: Depth-first component exploration,1
Linked List,Hash Map,Direct keyed lookup,+ Sorting,Canonical: Direct lookup dictionary,1
Linked List,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,1
Linked List,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,1
Linked List,Hash Set,Uniqueness / seen-set check,+ Bitmask,Canonical: Contains Duplicate / seen-set uniqueness,1
Linked List,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,1
Intervals / Geometry / Coordinates,Sorting / Sweep,Sweep / interval ordering,+ Graph + Math,Canonical: Merge Intervals,1
Intervals / Geometry / Coordinates,Two Pointers,Boundary / pointer sweep,+ Intervals/Geometry,Canonical: Two Sum II / Container With Most Water,1
Intervals / Geometry / Coordinates,Two Pointers,Boundary / pointer sweep,+ Sorting + Greedy Check,Canonical: Two Sum II / Container With Most Water,1
Linked List,Backtracking,Choice tree with undo,+ Stack,Canonical: Permutations / combinations search,1
Linked List,Counting,Count-driven scan,+ Math,Canonical: Frequency counting,1
Linked List,Custom Exact Technique,Exact custom / named technique,+ Bitmask + Tree + Segment/Fenwick,Canonical: Exact custom named technique,1
Linked List,Custom Exact Technique,Exact custom / named technique,+ Tree,Canonical: Exact custom named technique,1
Linked List,DFS,Depth-first traversal,+ Sorting,Canonical: Depth-first component exploration,1
Matrix / Grid,Sliding Window,Fixed-size window,None,Canonical: Fixed-size subarray window,1
Matrix / Grid,Two Pointers,Boundary / pointer sweep,+ Greedy Check,Canonical: Two Sum II / Container With Most Water,1
Matrix / Grid,Two Pointers,Boundary / pointer sweep,+ Math,Canonical: Two Sum II / Container With Most Water,1
Number / Bit / Math,BFS,Multi-source / layered BFS,None,Canonical: Shortest-path layer BFS,1
Number / Bit / Math,BFS,Single-source breadth-first traversal,+ Bitmask,Canonical: Shortest-path layer BFS,1
Number / Bit / Math,BFS,Single-source breadth-first traversal,+ Graph + Math,Canonical: Shortest-path layer BFS,1
Number / Bit / Math,BFS,Single-source breadth-first traversal,+ Hash Map,Canonical: Shortest-path layer BFS,1
Number / Bit / Math,BFS,Single-source breadth-first traversal,+ Hash Set + Graph,Canonical: Shortest-path layer BFS,1
Matrix / Grid,Prefix / Suffix Precompute,Range-sum precompute,+ Math,Canonical: Range Sum Query,1
Matrix / Grid,Prefix / Suffix Precompute,Range-sum precompute,+ Sorting + Tree,Canonical: Range Sum Query,1
Matrix / Grid,Queue / Deque,Deque-backed range/window state,None,Canonical: Sliding Window Maximum,1
Matrix / Grid,Segment Tree,Range query / update tree,+ Hash Set + Tree + Segment/Fenwick,Canonical: Range query / update segment tree,1
Matrix / Grid,Simulation / Scan / Precompute,Precompute + lookup,None,Canonical: Precompute then query,1
Matrix / Grid,Simulation / Scan / Precompute,State-tracking simulation,+ Prefix/Suffix,Canonical: Direct simulation,1
Matrix / Grid,Sliding Window,Fixed-size window,+ Counting,Canonical: Fixed-size subarray window,1
Matrix / Grid,Sliding Window,Fixed-size window,+ Greedy Check,Canonical: Fixed-size subarray window,1
Number / Bit / Math,Binary Search,Exact / partition binary search,+ String Parsing,Canonical: Binary Search / median partition,1
Number / Bit / Math,Bit / Mask,Bitwise state manipulation,+ Prefix/Suffix,Canonical: Bit manipulation,1
Intervals / Geometry / Coordinates,Heap,Top-K / best-first selection,+ Sorting,Canonical: Top K Frequent Elements / merge-k,1
Intervals / Geometry / Coordinates,Heap,Top-K / best-first selection,None,Canonical: Top K Frequent Elements / merge-k,1
Intervals / Geometry / Coordinates,Math / Number Theory,Digit arithmetic / carry,None,Canonical: Add Two Numbers / Reverse Integer,1
Intervals / Geometry / Coordinates,Math / Number Theory,Divisor / number theory,None,Canonical: Count Primes / GCD-LCM family,1
Intervals / Geometry / Coordinates,Math / Number Theory,Parity / algebraic invariant,+ Counting,Canonical: Mathematical invariant,1
Intervals / Geometry / Coordinates,Monotonic Stack,Next-greater / monotonic boundary stack,+ Hash Map + Prefix/Suffix,Canonical: Daily Temperatures / Largest Rectangle,1
Number / Bit / Math,Binary Search,Answer-space binary search,+ Prefix/Suffix,Canonical: Koko Eating Bananas,1
Number / Bit / Math,Binary Search,Answer-space binary search,+ Sorting + Greedy Check,Canonical: Koko Eating Bananas,1
Number / Bit / Math,Binary Search,Exact / partition binary search,+ Hash Map,Canonical: Binary Search / median partition,1
Number / Bit / Math,Binary Search,Exact / partition binary search,+ Intervals/Geometry,Canonical: Binary Search / median partition,1
Number / Bit / Math,Binary Search,Exact / partition binary search,+ Math + Intervals/Geometry,Canonical: Binary Search / median partition,1
Number / Bit / Math,Binary Search,Exact / partition binary search,+ Prefix/Suffix,Canonical: Binary Search / median partition,1
Number / Bit / Math,Binary Search,Exact / partition binary search,+ Sorting,Canonical: Binary Search / median partition,1
Number / Bit / Math,Binary Search,Exact / partition binary search,+ Sorting + Prefix/Suffix,Canonical: Binary Search / median partition,1
Number / Bit / Math,Backtracking,Choice tree with undo,+ Hash Map + Counting,Canonical: Permutations / combinations search,1
Number / Bit / Math,Backtracking,Choice tree with undo,+ Prefix/Suffix,Canonical: Permutations / combinations search,1
Number / Bit / Math,Backtracking,Choice tree with undo,None,Canonical: Combination Sum,1
Number / Bit / Math,Backtracking,Combination search,+ Hash Set + Tree + Segment/Fenwick,Canonical: Permutations / combinations search,1
Number / Bit / Math,Backtracking,Permutation / choice-tree generation,+ Counting,Canonical: Permutations / combinations search,1
Number / Bit / Math,Backtracking,Permutation / choice-tree generation,+ Graph,Canonical: Permutations / combinations search,1
Number / Bit / Math,Backtracking,Permutation / choice-tree generation,+ Greedy Check,Canonical: Permutations / combinations search,1
Number / Bit / Math,Backtracking,Permutation / choice-tree generation,+ Math,Canonical: Permutations / combinations search,1
Linked List,Linked List,Dummy-node merge / splice,+ Hash Set,Canonical: Merge Two Sorted Lists,1
Linked List,Linked List,Dummy-node merge / splice,+ Intervals/Geometry,Canonical: Merge Two Sorted Lists,1
Linked List,Linked List,In-place reversal / rewiring,None,Canonical: Pointer rewiring on linked list,1
Linked List,Linked List,Pointer manipulation on list nodes,+ Counting,Canonical: Pointer rewiring on linked list,1
Linked List,Linked List,Pointer manipulation on list nodes,+ Stack,Canonical: Pointer rewiring on linked list,1
Number / Bit / Math,Backtracking,Choice tree with undo,+ Bitmask,Canonical: Combination Sum,1
Number / Bit / Math,Backtracking,Choice tree with undo,+ Bitmask + Tree + Segment/Fenwick,Canonical: Permutations / combinations search,1
Number / Bit / Math,Backtracking,Choice tree with undo,+ Greedy Check + Graph + Math,Canonical: Permutations / combinations search,1
Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Hash Set + Queue/Deque,Canonical: Exact custom named technique,1
Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Sorting,Canonical: Exact custom named technique,1
Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Tree + Segment/Fenwick,Canonical: Exact custom named technique,1
Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Tree + Segment/Fenwick + Math,Canonical: Exact custom named technique,1
Number / Bit / Math,DFS,Depth-first traversal,+ Counting + Tree,Canonical: Depth-first component exploration,1
Number / Bit / Math,DFS,Depth-first traversal,+ Hash Set + Tree,Canonical: Depth-first component exploration,1
Number / Bit / Math,DFS,Depth-first traversal,+ Tree + Math,Canonical: Depth-first component exploration,1
Number / Bit / Math,Dynamic Programming,1D DP,+ Math,Canonical: Climbing Stairs / House Robber,1
Number / Bit / Math,Counting,Count-driven scan,+ Bitmask + Math,Canonical: Frequency counting,1
Number / Bit / Math,Counting,Count-driven scan,+ Bitmask + Tree + Segment/Fenwick,Canonical: Frequency counting,1
Number / Bit / Math,Counting,Count-driven scan,+ Greedy Check,Canonical: Frequency counting,1
Number / Bit / Math,Counting,Count-driven scan,+ Tree + Segment/Fenwick,Canonical: Frequency counting,1
Number / Bit / Math,Counting,Count-driven scan,+ Tree + Segment/Fenwick + Math,Canonical: Frequency counting,1
Number / Bit / Math,Counting,Frequency counting,+ Bitmask + Math,Canonical: Frequency counting,1
Number / Bit / Math,Counting,Frequency counting,+ Greedy Check + Math,Canonical: Frequency counting,1
Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Hash Set,Canonical: Exact custom named technique,1
Intervals / Geometry / Coordinates,Simulation / Scan / Precompute,State-tracking simulation,None,Canonical: Direct simulation,1
Intervals / Geometry / Coordinates,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Map,Canonical: Longest Substring Without Repeating Characters,1
Intervals / Geometry / Coordinates,Sliding Window,Variable-size window,+ Sorting,Canonical: Minimum Window / variable-size window,1
Intervals / Geometry / Coordinates,Sorting / Sweep,Order-then-scan,+ Math,Canonical: Sort then scan,1
Intervals / Geometry / Coordinates,Sorting / Sweep,Sweep / interval ordering,+ Bitmask,Canonical: Merge Intervals,1
Number / Bit / Math,Bit / Mask,Bitwise state manipulation,+ Tree + Segment/Fenwick,Canonical: Bit manipulation,1
Number / Bit / Math,Bit / Mask,Bitwise state manipulation,+ Tree + Segment/Fenwick + Math,Canonical: Bit manipulation,1
Number / Bit / Math,Bit / Mask,Subset mask state,+ Tree + Segment/Fenwick,Canonical: Bitmask subset DP,1
Intervals / Geometry / Coordinates,Prefix / Suffix Precompute,Prefix/suffix extrema or counts,+ Hash Map,Canonical: Prefix/Suffix extrema accumulation,1
Intervals / Geometry / Coordinates,Prefix / Suffix Precompute,Range-sum precompute,+ Math,Canonical: Range Sum Query,1
Intervals / Geometry / Coordinates,Prefix / Suffix Precompute,Range-sum precompute,+ Sorting + Greedy Check,Canonical: Range Sum Query,1
Intervals / Geometry / Coordinates,Queue / Deque,Deque-backed range/window state,+ Hash Map,Canonical: Sliding Window Maximum,1
Intervals / Geometry / Coordinates,Segment Tree,Range query / update tree,+ Bitmask + Tree + Segment/Fenwick,Canonical: Range query / update segment tree,1
Intervals / Geometry / Coordinates,Segment Tree,Range query / update tree,+ Counting + Tree + Segment/Fenwick,Canonical: Range query / update segment tree,1
Intervals / Geometry / Coordinates,Segment Tree,Range query / update tree,+ Greedy Check + Tree + Segment/Fenwick,Canonical: Range query / update segment tree,1
Intervals / Geometry / Coordinates,Segment Tree,Range query / update tree,+ Hash Set + Greedy Check + Tree,Canonical: Range query / update segment tree,1
Intervals / Geometry / Coordinates,Hash Set,Uniqueness / seen-set check,+ Greedy Check,Canonical: Contains Duplicate / seen-set uniqueness,1
Intervals / Geometry / Coordinates,Heap,Priority-based selection,+ Hash Map + Tree + Intervals/Geometry,Canonical: Top K Frequent Elements / merge-k,1
Intervals / Geometry / Coordinates,Heap,Priority-based selection,+ Prefix/Suffix + Intervals/Geometry,Canonical: Top K Frequent Elements / merge-k,1
Intervals / Geometry / Coordinates,Heap,Priority-based selection,+ Sorting,Canonical: Top K Frequent Elements / merge-k,1
Intervals / Geometry / Coordinates,Heap,Priority-based selection,+ Sorting + Prefix/Suffix,Canonical: Top K Frequent Elements / merge-k,1
Intervals / Geometry / Coordinates,Heap,Top-K / best-first selection,+ Greedy Check,Canonical: Top K Frequent Elements / merge-k,1
Intervals / Geometry / Coordinates,Heap,Top-K / best-first selection,+ Queue/Deque + Greedy Check,Canonical: Top K Frequent Elements / merge-k,1
Number / Bit / Math,Fenwick / Sparse Table,Fenwick prefix aggregate,+ Sorting + Prefix/Suffix + Tree,Canonical: Fenwick tree / Binary Lifting,1
Intervals / Geometry / Coordinates,Greedy,Greedy with numeric invariant,+ Math,Canonical: Gas Station / local-choice greedy,1
Intervals / Geometry / Coordinates,Greedy,Local-choice optimization,+ Sorting + Intervals/Geometry,Canonical: Gas Station / local-choice greedy,1
Intervals / Geometry / Coordinates,Hash Map,Direct keyed lookup,+ Bitmask,Canonical: Direct lookup dictionary,1
Intervals / Geometry / Coordinates,Hash Map,Direct keyed lookup,+ Sorting,Canonical: Direct lookup dictionary,1
Intervals / Geometry / Coordinates,Hash Map,Direct keyed lookup,+ Tree + Intervals/Geometry,Canonical: Direct lookup dictionary,1
Intervals / Geometry / Coordinates,Hash Map,Frequency dictionary,+ Counting + Math,Canonical: Group Anagrams / frequency map,1
Intervals / Geometry / Coordinates,Hash Set,Uniqueness / seen-set check,+ Counting,Canonical: Contains Duplicate / seen-set uniqueness,1
Intervals / Geometry / Coordinates,Hash Set,Uniqueness / seen-set check,+ Counting + Bitmask + Tree,Canonical: Contains Duplicate / seen-set uniqueness,1
Number / Bit / Math,Dynamic Programming,State-transition DP,+ Sorting,Canonical: Coin Change / state-transition DP,1
Number / Bit / Math,Dynamic Programming,State-transition DP,+ Tree + Segment/Fenwick,Canonical: Coin Change / state-transition DP,1
Intervals / Geometry / Coordinates,Dynamic Programming,State-transition DP,+ Greedy Check + Math,Canonical: Coin Change / state-transition DP,1
Intervals / Geometry / Coordinates,Dynamic Programming,Tree DP,+ Tree + Segment/Fenwick,Canonical: Binary Tree Maximum Path Sum / tree DP,1
Intervals / Geometry / Coordinates,Fenwick / Sparse Table,Fenwick prefix aggregate,+ Tree + Segment/Fenwick,Canonical: Fenwick tree / Binary Lifting,1
Intervals / Geometry / Coordinates,Geometry,Convex hull / orientation,+ Math,Canonical: Geometry / sweep / convex-hull family,1
Intervals / Geometry / Coordinates,Geometry,Convex hull / orientation,None,Canonical: Geometry / sweep / convex-hull family,1
Intervals / Geometry / Coordinates,Geometry,Geometric reasoning,+ Math,Canonical: Geometry / sweep / convex-hull family,1
Number / Bit / Math,Dynamic Programming,1D DP,+ Prefix/Suffix,Canonical: Climbing Stairs / House Robber,1
Number / Bit / Math,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,1
Number / Bit / Math,Dynamic Programming,3D DP,None,Canonical: Coin Change / state-transition DP,1
Number / Bit / Math,Dynamic Programming,Bitmask DP,+ Greedy Check + Bitmask + Math,Canonical: Traveling-state / subset DP,1
Number / Bit / Math,Dynamic Programming,Digit DP,+ Bitmask + Math,Canonical: Digit DP counting,1
Number / Bit / Math,Dynamic Programming,Digit DP,+ Greedy Check + Math,Canonical: Digit DP counting,1
Number / Bit / Math,Dynamic Programming,Memoized DP,+ DFS/Recursion,Canonical: Coin Change (top-down),1
Number / Bit / Math,Dynamic Programming,State-transition DP,+ Graph + Math,Canonical: Coin Change / state-transition DP,1
Intervals / Geometry / Coordinates,Counting,Count-driven scan,+ Tree + Segment/Fenwick,Canonical: Frequency counting,1
Intervals / Geometry / Coordinates,Counting,Count-driven scan,None,Canonical: Frequency counting,1
Intervals / Geometry / Coordinates,Counting,Frequency counting,+ Greedy Check,Canonical: Frequency counting,1
Intervals / Geometry / Coordinates,Counting,Frequency counting,+ Intervals/Geometry,Canonical: Frequency counting,1
Intervals / Geometry / Coordinates,Custom Exact Technique,Exact custom / named technique,+ Graph,Canonical: Exact custom named technique,1
Intervals / Geometry / Coordinates,Custom Exact Technique,Exact custom / named technique,+ Hash Map + Math,Canonical: Exact custom named technique,1
Intervals / Geometry / Coordinates,Custom Exact Technique,Exact custom / named technique,+ Hash Set + Grid,Canonical: Exact custom named technique,1
Intervals / Geometry / Coordinates,Custom Exact Technique,Exact custom / named technique,+ Prefix/Suffix,Canonical: Exact custom named technique,1
Graph / Network,Union-Find,Connectivity / component merging,+ Tree + Segment/Fenwick + Intervals/Geometry,Canonical: Number of Connected Components / Redundant Connection,1
Intervals / Geometry / Coordinates,Backtracking,Choice tree with undo,+ Bitmask,Canonical: Permutations / combinations search,1
Intervals / Geometry / Coordinates,Backtracking,Choice tree with undo,+ Math,Canonical: Permutations / combinations search,1
Intervals / Geometry / Coordinates,Binary Search,Exact / partition binary search,+ Hash Map,Canonical: Binary Search / median partition,1
Intervals / Geometry / Coordinates,Binary Search,Exact / partition binary search,+ Intervals/Geometry,Canonical: Binary Search / median partition,1
Intervals / Geometry / Coordinates,Binary Search,Exact / partition binary search,+ Prefix/Suffix,Canonical: Binary Search / median partition,1
Intervals / Geometry / Coordinates,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,1
