ID,Problem Title,data_shape,primary_engine,variation,composite_helper,canonical_link,opt_time_budget,opt_space_budget,draw_anatomy_bucket
2174,Remove All Ones With Row and Column Flips II,Number / Bit / Math,Backtracking,Choice tree with undo,+ Bitmask,Canonical: Permutations / combinations search,O(branch^depth),O(2^15),Range / bit-state canvas
2175,The Change in Global Rankings (SQL),Relational Table / SQL,SQL / Window Function,ROW_NUMBER ranking,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,O(N),Relational table canvas
2176,Count Equal and Divisible Pairs in an Array,Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(N),O(N),Lookup-table / bucket canvas
2177,Find Three Consecutive Integers That Sum to a Number,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(1),Formula / invariant canvas
2178,Maximum Split of Positive Even Integers,Number / Bit / Math,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(sqrt(N),Strip / timeline / pointer canvas
2179,Count Good Triplets in an Array,Array / Sequence,Fenwick / Sparse Table,Fenwick prefix aggregate,+ Tree + Segment/Fenwick,Canonical: Fenwick tree / Binary Lifting,O(log N) per op,O(N),Relational table canvas
2180,Count Integers With Even Digit Sum,Number / Bit / Math,Math / Number Theory,Parity / algebraic invariant,None,Canonical: Mathematical invariant,O(1),O(1),Formula / invariant canvas
2181,Merge Nodes in Between Zeros,Array / Sequence,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Node-link canvas (tree/list/trie)
2182,Construct String With Repeat Limit,String / Text,Counting,Frequency counting,+ Sorting + Greedy Check,Canonical: Frequency counting,O(N),O(1),Lookup-table / bucket canvas
2183,Count Array Pairs Divisible by K,Array / Sequence,Hash Map,Frequency dictionary,+ Counting + Math,Canonical: Group Anagrams / frequency map,O(N),O(sqrt(k),Lookup-table / bucket canvas
2184,Number of Ways to Build Sturdy Brick Wall,Number / Bit / Math,Dynamic Programming,Bitmask DP,+ Bitmask,Canonical: Traveling-state / subset DP,O(N·2^N),O(Height · Patterns),Range / bit-state canvas
2185,Counting Words With a Given Prefix,String / Text,Simulation / Scan / Precompute,Direct simulation / scan,None,Canonical: Direct simulation,O(N),O(1),Strip / timeline / pointer canvas
2186,Minimum Number of Steps to Make Two Strings Anagrams II,String / Text,Counting,Frequency counting,+ Sorting,Canonical: Frequency counting,O(N),O(1),Lookup-table / bucket canvas
2187,Minimum Time to Complete Trips,Array / Sequence,Binary Search,Answer-space binary search,None,Canonical: Koko Eating Bananas,O(log N),O(1),Strip / timeline / pointer canvas
2188,Minimum Time to Finish the Race,Array / Sequence,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(states × transitions),O(N),State-table / recurrence canvas
2189,Number of Ways to Build House of Cards,Number / Bit / Math,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,O(M·N),O(N^2),State-table / recurrence canvas
2190,Most Frequent Number Following Key In an Array,Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(1),O(N),Lookup-table / bucket canvas
2191,Sort the Jumbled Numbers,Number / Bit / Math,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,Custom / source-specific,O(N),Lookup-table / bucket canvas
2192,All Ancestors of a Node in a DAG,Tree / Trie,Topological Sort,DAG ordering / prerequisite resolution,+ Sorting,Canonical: Course Schedule,O(V+E),O(N^2),Node-link canvas (tree/list/trie)
2193,Minimum Number of Moves to Make Palindrome,String / Text,Two Pointers,Boundary / pointer sweep,+ Greedy Check,Canonical: Two Sum II / Container With Most Water,O(N),O(N),Coordinate-plane canvas
2194,Cells in a Range on an Excel Sheet,Matrix / Grid,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,Custom / source-specific,O(N),Grid / board canvas
2195,Append K Integers With Minimal Sum,Number / Bit / Math,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,Custom / source-specific,O(1),Strip / timeline / pointer canvas
2196,Create Binary Tree From Descriptions,Tree / Trie,Hash Map,Direct keyed lookup,+ Hash Set,Canonical: Direct lookup dictionary,O(N),O(N),Node-link canvas (tree/list/trie)
2197,Replace Non-Coprime Numbers in Array,Number / Bit / Math,Stack,LIFO state maintenance,+ Greedy Check,Canonical: Valid Parentheses,O(N),O(N),Container canvas (stack/queue/heap)
2198,Number of Single Divisor Triplets,Number / Bit / Math,Counting,Frequency counting,None,Canonical: Frequency counting,O(N),O(1),Lookup-table / bucket canvas
2199,Finding the Topic of Each Post (SQL),Relational Table / SQL,SQL / Join,Key-based row matching,None,Canonical: Combine Two Tables,Depends on engine / grouping plan,O(P + K),Relational table canvas
2200,Find All K-Distant Indices in an Array,Array / Sequence,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,O(N),O(N),Coordinate-plane canvas
2201,Count Artifacts That Can Be Extracted,Matrix / Grid,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,O(D),O(1),Grid / board canvas
2202,Maximize the Topmost Element After K Moves,Array / Sequence,Greedy,Greedy with numeric invariant,+ Math,Canonical: Gas Station / local-choice greedy,O(K),O(1),Coordinate-plane canvas
2203,Minimum Weighted Subgraph With the Required Paths,Graph / Network,Shortest Path / Flow,Weighted shortest path,None,Canonical: Network Delay Time,O(E log V),Custom / source-specific,Graph / state-network canvas
2204,Distance to a Cycle in Undirected Graph,Linked List,Topological Sort,DAG ordering / prerequisite resolution,+ Sorting,Canonical: Course Schedule,O(V+E),O(V),Node-link canvas (tree/list/trie)
2205,The Number of Users That Are Eligible for Discount,Number / Bit / Math,Sliding Window,Fixed-size window,+ Hash Map + Counting,Canonical: Fixed-size subarray window,O(N),O(1),Lookup-table / bucket canvas
2206,Divide Array Into Equal Pairs,Array / Sequence,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(N),O(N),Lookup-table / bucket canvas
2207,Maximize Number of Subsequences in a String,String / Text,Greedy,Local-choice optimization,+ Counting + Prefix/Suffix,Canonical: Gas Station / local-choice greedy,O(N),O(1),Lookup-table / bucket canvas
2208,Minimum Operations to Halve Array Sum,Array / Sequence,Heap,Priority-based selection,None,Canonical: Top K Frequent Elements / merge-k,O(N),O(N),Container canvas (stack/queue/heap)
2209,Minimum White Tiles After Covering With Carpets,Matrix / Grid,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,O(N · C),O(M·N),Grid / board canvas
2210,Count Hills and Valleys in an Array,Number / Bit / Math,Simulation / Scan / Precompute,Single-pass scan,None,Canonical: Linear scan with running state,O(N),O(1),Graph / state-network canvas
2211,Count Collisions on a Road,Array / Sequence,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Coordinate-plane canvas
2212,Maximum Points in an Archery Competition,Intervals / Geometry / Coordinates,Bit / Mask,Subset mask state,None,Canonical: Bitmask subset DP,O(2^12 * 12),O(1),Range / bit-state canvas
2213,Longest Substring of One Repeating Character,Tree / Trie,Segment Tree,Range query / update tree,+ Tree + Segment/Fenwick,Canonical: Range query / update segment tree,O(log N),O(N),Range / bit-state canvas
2214,Minimum Health to Beat Game,Array / Sequence,Greedy,Greedy with numeric invariant,+ Math,Canonical: Gas Station / local-choice greedy,O(N),O(1),Strip / timeline / pointer canvas
2215,Find the Difference of Two Arrays,Array / Sequence,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(N),Lookup-table / bucket canvas
2216,Minimum Deletions to Make Array Beautiful,Array / Sequence,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(1),Coordinate-plane canvas
2217,Find Palindrome With Fixed Length,String / Text,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(L),O(1),Formula / invariant canvas
2218,Maximum Value of K Coins From Piles,Matrix / Grid,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,O(N · K^2),O(M·N),Grid / board canvas
2219,Maximum Sum Score of Array,Number / Bit / Math,Prefix / Suffix Precompute,Range-sum precompute,None,Canonical: Range Sum Query,O(N),O(1),Strip / timeline / pointer canvas
2220,Minimum Bit Flips to Convert Number,Number / Bit / Math,Bit / Mask,XOR / parity logic,None,Canonical: Single Number / XOR invariant,O(Set Bits),O(1),Coordinate-plane canvas
2221,Find Triangular Sum of an Array,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(1),Lookup-table / bucket canvas
2222,Number of Ways to Select Buildings,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Prefix/Suffix,Canonical: Exact custom named technique,O(N),O(1),Relational table canvas
2223,Sum of Scores of Built Strings,String / Text,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(N),Strip / timeline / pointer canvas
2224,Minimum Number of Operations to Convert Time,Number / Bit / Math,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(1),O(1),Lookup-table / bucket canvas
2225,Find Players With Zero or One Losses,Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(N),O(N),Lookup-table / bucket canvas
2226,Maximum Candies Allocated to K Children,Number / Bit / Math,Binary Search,Answer-space binary search,None,Canonical: Koko Eating Bananas,O(N),O(1),Strip / timeline / pointer canvas
2227,Encrypt and Decrypt Strings,Tree / Trie,Trie,Prefix-tree traversal / insertion,None,Canonical: Implement Trie (Prefix Tree),O(Dict_Size · Word_Len),O(N),Node-link canvas (tree/list/trie)
2228,Users With Two Purchases Within Seven Days,Relational Table / SQL,SQL / Window Function,Lead/Lag neighbor rows,None,Canonical: Ranking & running-row analytics,O(N log N),Result / grouping dependent,Relational table canvas
2229,Check if an Array Is Consecutive,Array / Sequence,Hash Set,Uniqueness / seen-set check,+ Math,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(N),Node-link canvas (tree/list/trie)
2230,The Users That Are Eligible for Discount,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),Custom / source-specific,Relational table canvas
2231,Largest Number After Digit Swaps by Parity,Number / Bit / Math,Heap,Priority-based selection,+ Sorting + Math,Canonical: Top K Frequent Elements / merge-k,O(N),O(N),Container canvas (stack/queue/heap)
2232,Minimize Result by Adding Parentheses to Expression,Array / Sequence,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(L^2),O(1),Coordinate-plane canvas
2233,Maximum Product After K Increments,Array / Sequence,Heap,Top-K / best-first selection,None,Canonical: Top K Frequent Elements / merge-k,O(N),O(N),Container canvas (stack/queue/heap)
2234,Maximum Total Beauty of the Gardens,Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Sorting + Prefix/Suffix,Canonical: Two Sum II / Container With Most Water,O(N log N),O(1),Coordinate-plane canvas
2235,Add Two Integers,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(1),O(1),Strip / timeline / pointer canvas
2236,Root Equals Sum of Children,Array / Sequence,Simulation / Scan / Precompute,Direct simulation / scan,None,Canonical: Direct simulation,O(1),O(1),Strip / timeline / pointer canvas
2237,Count Positions on Street With Required Brightness,Tree / Trie,Prefix / Suffix Precompute,Difference-array accumulation,+ Intervals/Geometry,Canonical: Prefix/Suffix extrema accumulation,O(N),O(N),Strip / timeline / pointer canvas
2238,Number of Times a Driver Was a Passenger,Relational Table / SQL,SQL / Join,Left join / null retention,None,Canonical: Combine Two Tables,O(N),O(Unique_IDs),Relational table canvas
2239,Find Closest Number to Zero,Number / Bit / Math,Simulation / Scan / Precompute,Single-pass scan,None,Canonical: Linear scan with running state,O(N),O(1),Strip / timeline / pointer canvas
2240,Number of Ways to Buy Pens and Pencils,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(Total / Cost1),O(1),Strip / timeline / pointer canvas
2241,Design an ATM Machine,Array / Sequence,Hash Map,Frequency dictionary,+ Counting + Greedy Check,Canonical: Group Anagrams / frequency map,O(1),O(1),Lookup-table / bucket canvas
2242,Maximum Score of a Node Sequence,Graph / Network,Graph,General graph modeling,None,Canonical: General graph construction,O(E),O(V),Node-link canvas (tree/list/trie)
2243,Calculate Digit Sum of a String,String / Text,Two Pointers,Boundary / pointer sweep,+ String Parsing,Canonical: Two Sum II / Container With Most Water,O(N),O(N),Lookup-table / bucket canvas
2244,Minimum Rounds to Complete All Tasks,Array / Sequence,Hash Map,Frequency dictionary,+ Counting + Greedy Check + Math,Canonical: Group Anagrams / frequency map,O(N),O(N),Lookup-table / bucket canvas
2245,Maximum Trailing Zeros in a Cornered Path,Graph / Network,Prefix / Suffix Precompute,Range-sum precompute,+ Math,Canonical: Range Sum Query,O(R· C),O(R*C),Grid / board canvas
2246,Longest Path With Different Adjacent Characters,Tree / Trie,Tree,Recursive subtree aggregation,None,Canonical: Binary Tree recursion,O(N),O(N),Node-link canvas (tree/list/trie)
2247,Maximum Cost of Trip With K Highways,Array / Sequence,Dynamic Programming,Bitmask DP,+ Bitmask,Canonical: Traveling-state / subset DP,O(2^N · N · Degree),O(N * 2^N),Range / bit-state canvas
2248,Intersection of Multiple Arrays,Array / Sequence,Hash Map,Frequency dictionary,+ Counting + Sorting,Canonical: Group Anagrams / frequency map,O(Sum of all lengths),O(1),Lookup-table / bucket canvas
2249,Count Lattice Points Inside Circles,Matrix / Grid,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(W · H · N),O(1),Grid / board canvas
2250,Count Number of Rectangles Containing Each Point,Intervals / Geometry / Coordinates,Binary Search,Exact / partition binary search,+ Sorting,Canonical: Binary Search / median partition,O(log N),O(N),Coordinate-plane canvas
2251,Number of Flowers in Full Bloom,Intervals / Geometry / Coordinates,Geometry,Coordinate transform / distance geometry,None,Canonical: Geometry / sweep / convex-hull family,O(log F),O(F),Coordinate-plane canvas
2252,Dynamic Pivoting of a Table,Array / Sequence,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,Custom / source-specific,Custom / source-specific,Relational table canvas
2253,Dynamic Unpivoting of a Table,Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,None,Canonical: Basic filter / reshape / null-handling,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
2254,Design Video Sharing Platform,Number / Bit / Math,Heap,Priority-based selection,+ Hash Map,Canonical: Top K Frequent Elements / merge-k,O(log N),O(N),Container canvas (stack/queue/heap)
2255,Count Prefixes of a Given String,Tree / Trie,Trie,Prefix-tree traversal / insertion,+ Hash Map,Canonical: Implement Trie (Prefix Tree),O(Sum of all word lengths),O(Total Characters),Node-link canvas (tree/list/trie)
2256,Minimum Average Difference,Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,None,Canonical: Range Sum Query,O(N),O(1),Strip / timeline / pointer canvas
2257,Count Unguarded Cells in the Grid,Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(R· C + G· (R+C),O(R*C),Grid / board canvas
2258,Escape the Spreading Fire,Matrix / Grid,BFS,Multi-source / layered BFS,None,Canonical: Rotting Oranges / 01 Matrix,O(R· C),O(R*C),Grid / board canvas
2259,Remove Digit From Number to Maximize Result,Number / Bit / Math,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(N),Coordinate-plane canvas
2260,Minimum Consecutive Cards to Pick Up,Array / Sequence,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Map,Canonical: Longest Substring Without Repeating Characters,O(N),O(N),Lookup-table / bucket canvas
2261,K Divisible Elements Subarrays,Tree / Trie,Trie,Prefix-tree traversal / insertion,None,Canonical: Implement Trie (Prefix Tree),O(N^2),O(Total_Unique_Elements),Node-link canvas (tree/list/trie)
2262,Total Appeal of A String,String / Text,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(N),O(1),Node-link canvas (tree/list/trie)
2263,Make Array Non-decreasing or Non-increasing,Number / Bit / Math,Heap,Priority-based selection,+ Hash Map,Canonical: Top K Frequent Elements / merge-k,O(N),O(N),Container canvas (stack/queue/heap)
2264,Largest 3-Same-Digit Number in String,String / Text,Simulation / Scan / Precompute,Direct simulation / scan,None,Canonical: Direct simulation,O(N),O(1),Coordinate-plane canvas
2265,Count Nodes Equal to Average of Subtree,Tree / Trie,Tree,Recursive subtree aggregation,None,Canonical: Binary Tree recursion,O(N),O(H),Node-link canvas (tree/list/trie)
2266,Count Number of Texts,Matrix / Grid,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(N),O(1),Grid / board canvas
2267,Check if There Is a Valid Parentheses String Path,Graph / Network,Dynamic Programming,3D DP,None,Canonical: Coin Change / state-transition DP,O(M · N · (M+N),O(M * N * (M+N),Grid / board canvas
2268,Minimum Number of Keypresses,Number / Bit / Math,Greedy,Sort-then-greedy,+ Sorting,Canonical: Merge Intervals / scheduling greedy,O(N),O(1),Lookup-table / bucket canvas
2269,Find the K-Beauty of a Number,Number / Bit / Math,Sliding Window,Variable-size window,+ Math,Canonical: Minimum Window / variable-size window,O(N),O(K),Formula / invariant canvas
2270,Number of Ways to Split Array,Number / Bit / Math,Prefix / Suffix Precompute,Range-sum precompute,None,Canonical: Range Sum Query,O(N),O(1),Strip / timeline / pointer canvas
2271,Maximum White Tiles Covered by a Carpet,Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Prefix/Suffix,Canonical: Two Sum II / Container With Most Water,O(N log N),O(N),Coordinate-plane canvas
2272,Substring With Largest Variance,Tree / Trie,Dynamic Programming,State-transition DP,+ Greedy Check,Canonical: Coin Change / state-transition DP,O(N),O(1),Node-link canvas (tree/list/trie)
2273,Find Resultant Array After Removing Anagrams,String / Text,Stack,LIFO state maintenance,None,Canonical: Valid Parentheses,O(N),O(N * L),Container canvas (stack/queue/heap)
2274,Maximum Consecutive Floors Without Special Floors,Number / Bit / Math,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,O(S log S),O(S),Coordinate-plane canvas
2275,Largest Combination With Bitwise AND Greater Than Zero,Number / Bit / Math,Counting,Count-driven scan,+ Tree + Segment/Fenwick,Canonical: Frequency counting,O(N),O(1),Container canvas (stack/queue/heap)
2276,Count Integers in Covered Intervals,Intervals / Geometry / Coordinates,Segment Tree,Range query / update tree,+ Hash Map + Tree + Segment/Fenwick,Canonical: Range query / update segment tree,O(log N),O(N),Range / bit-state canvas
2277,Closest Node to Path in Tree,Tree / Trie,Tree,LCA query,+ Math,Canonical: Lowest Common Ancestor,O(N log N),O(N log N),Node-link canvas (tree/list/trie)
2278,Percentage of Letter in String,String / Text,Counting,Count-driven scan,+ Math,Canonical: Frequency counting,O(N),O(1),Lookup-table / bucket canvas
2279,Maximum Bags With Full Capacity of Rocks,Array / Sequence,Greedy,Sort-then-greedy,+ Sorting,Canonical: Merge Intervals / scheduling greedy,O(N),O(N),Strip / timeline / pointer canvas
2280,Minimum Lines to Represent a Line Chart,Intervals / Geometry / Coordinates,Sorting / Sweep,Order-then-scan,+ Math,Canonical: Sort then scan,O(N log N),O(log N),Graph / state-network canvas
2281,Sum of Total Strength of Wizards,Array / Sequence,Monotonic Stack,Next-greater / monotonic boundary stack,+ Prefix/Suffix,Canonical: Daily Temperatures / Largest Rectangle,O(N),O(N),Container canvas (stack/queue/heap)
2282,Number of People That Can Be Seen in a Grid,Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Stack,Canonical: Grid traversal / DP scan,O(R· C),"O(max(R,C)",Container canvas (stack/queue/heap)
2283,Check if Number Has Equal Digit Count and Digit Value,Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(N),O(1),Lookup-table / bucket canvas
2284,Sender With Largest Word Count,Matrix / Grid,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,O(Total_Words),O(Unique_Senders),Grid / board canvas
2285,Maximum Total Importance of Roads,Object / Process / API,Shell / Unix,Pipeline / text processing,+ Greedy Check,Canonical: Text-processing pipeline,O(E),O(V),Graph / state-network canvas
2286,Booking Concert Tickets in Groups,Intervals / Geometry / Coordinates,Segment Tree,Range query / update tree,+ Tree + Segment/Fenwick,Canonical: Range query / update segment tree,O(log N) per op,O(N),Range / bit-state canvas
2287,Rearrange Characters to Make Target String,Intervals / Geometry / Coordinates,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(N),O(1),Lookup-table / bucket canvas
2288,Apply Discount to Prices,Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ String Parsing,Canonical: Exact custom named technique,O(N),O(N),Formula / invariant canvas
2289,Steps to Make Array Non-decreasing,Array / Sequence,Monotonic Stack,Next-greater / monotonic boundary stack,None,Canonical: Daily Temperatures / Largest Rectangle,O(N),O(N),Container canvas (stack/queue/heap)
2290,Minimum Obstacle Removal to Reach Corner,Tree / Trie,Shortest Path / Flow,0-1 shortest path,+ Queue/Deque,Canonical: 0-1 BFS shortest path,O(R· C),O(R*C),Container canvas (stack/queue/heap)
2291,Maximum Profit From Trading Stocks,Array / Sequence,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,O(N),O(B),State-table / recurrence canvas
2292,Products With Three or More Orders in Two Consecutive Years,Relational Table / SQL,SQL / Window Function,Lead/Lag neighbor rows,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,O(P),Relational table canvas
2293,Min Max Game,Array / Sequence,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(1),Strip / timeline / pointer canvas
2294,Partition Array Such That Maximum Difference Is K,Array / Sequence,Greedy,Sort-then-greedy,+ Sorting,Canonical: Merge Intervals / scheduling greedy,O(N log N),O(1),Lookup-table / bucket canvas
2295,Replace Elements in an Array,Array / Sequence,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,O(N),O(N),Lookup-table / bucket canvas
2296,Design a Text Editor,String / Text,Stack,Dual-stack transfer / evaluation,None,Canonical: Valid Parentheses,O(K),O(N),Container canvas (stack/queue/heap)
2297,Jump Game VIII,Array / Sequence,Monotonic Stack,Next-greater / monotonic boundary stack,None,Canonical: Daily Temperatures / Largest Rectangle,O(N),O(N),Container canvas (stack/queue/heap)
2298,Tasks Count in the Weekend,Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,None,Canonical: Basic filter / reshape / null-handling,O(N),O(1),Relational table canvas
2299,Strong Password Checker II,String / Text,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(1),Strip / timeline / pointer canvas
2300,Successful Pairs of Spells and Potions,Number / Bit / Math,Binary Search,Exact / partition binary search,+ Sorting,Canonical: Binary Search / median partition,O(M log M),O(M),Coordinate-plane canvas
2301,Match Substring After Replacement,Tree / Trie,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Map,Canonical: Longest Substring Without Repeating Characters,O(N),O(1),Node-link canvas (tree/list/trie)
2302,Count Subarrays With Score Less Than K,Number / Bit / Math,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,O(N),O(1),Coordinate-plane canvas
2303,Calculate Amount Paid in Taxes,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(1),Lookup-table / bucket canvas
2304,Minimum Path Cost in a Grid,Graph / Network,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(R·C),O(R·C),Grid / board canvas
2305,Fair Distribution of Cookies,Array / Sequence,Backtracking,Choice tree with undo,None,Canonical: Permutations / combinations search,O(branch^depth),O(depth),Strip / timeline / pointer canvas
2306,Naming a Company,Relational Table / SQL,SQL / Group By,Grouped aggregation,None,Canonical: Grouped aggregation / departmental summary,O(N),Result / grouping dependent,Relational table canvas
2307,Check for Contradictions in Equations,Graph / Network,Union-Find,Connectivity / component merging,None,Canonical: Number of Connected Components / Redundant Connection,O(V+E),O(V),Node-link canvas (tree/list/trie)
2308,Arrange Table by Gender,Intervals / Geometry / Coordinates,Custom Exact Technique,Exact custom / named technique,+ Queue/Deque,Canonical: Exact custom named technique,Custom / source-specific,Custom / source-specific,Container canvas (stack/queue/heap)
2309,Greatest English Letter in Upper and Lower Case,Number / Bit / Math,Hash Set,Uniqueness / seen-set check,+ Bitmask,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(N),Range / bit-state canvas
2310,Sum of Numbers With Units Digit K,Number / Bit / Math,Greedy,Greedy with numeric invariant,+ Math,Canonical: Gas Station / local-choice greedy,O(N),O(1),Coordinate-plane canvas
2311,Longest Binary Subsequence Less Than or Equal to K,String / Text,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(1),Strip / timeline / pointer canvas
2312,Selling Pieces of Wood,Matrix / Grid,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,O(M·N),O(M·N),Grid / board canvas
2313,Minimum Flips in Binary Tree to Get Result (Premium),Tree / Trie,Dynamic Programming,Tree DP,+ Tree,Canonical: Binary Tree Maximum Path Sum / tree DP,O(states × transitions),O(states),Node-link canvas (tree/list/trie)
2314,The First Day of the Maximum Recorded Degree in Each City,Relational Table / SQL,SQL / Window Function,ROW_NUMBER ranking,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,O(N),Relational table canvas
2315,Count Asterisks,Array / Sequence,Simulation / Scan / Precompute,Single-pass scan,None,Canonical: Linear scan with running state,O(N),O(1),Coordinate-plane canvas
2316,Count Unreachable Pairs of Nodes in an Undirected Graph,Graph / Network,BFS,Single-source breadth-first traversal,+ Graph + Math,Canonical: Shortest-path layer BFS,O(V+E),O(V),Node-link canvas (tree/list/trie)
2317,Maximum XOR After Operations,Number / Bit / Math,Bit / Mask,Bitwise state manipulation,+ Tree + Segment/Fenwick + Math,Canonical: Bit manipulation,O(2^N),O(1)-O(2^N),Container canvas (stack/queue/heap)
2318,Number of Distinct Roll Sequences,Matrix / Grid,Dynamic Programming,3D DP,None,Canonical: Coin Change / state-transition DP,O(states × transitions),O(states),Grid / board canvas
2319,Check if Matrix Is X-Matrix,Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(R·C),O(1),Grid / board canvas
2320,Count Number of Ways to Place Houses,Number / Bit / Math,Dynamic Programming,1D DP,+ Math,Canonical: Climbing Stairs / House Robber,O(N),O(1),State-table / recurrence canvas
2321,Maximum Score Of Spliced Array,Number / Bit / Math,Prefix / Suffix Precompute,Difference-array accumulation,+ Greedy Check,Canonical: Prefix/Suffix extrema accumulation,O(N),O(N),Strip / timeline / pointer canvas
2322,Minimum Score After Removals on a Tree,Tree / Trie,DFS,Tree DFS,+ Tree,Canonical: Path Sum / subtree DFS,O(1),O(V),Node-link canvas (tree/list/trie)
2323,Find Minimum Time to Finish All Jobs II (Premium),Array / Sequence,Greedy,Sort-then-greedy,+ Sorting,Canonical: Merge Intervals / scheduling greedy,O(N),O(1),Coordinate-plane canvas
2324,Product Sales Analysis IV (SQL Premium),Relational Table / SQL,SQL / Window Function,DENSE_RANK ranking,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
2325,Decode the Message,Tree / Trie,Tree,Recursive subtree aggregation,+ Hash Map,Canonical: Binary Tree recursion,O(N),O(H),Node-link canvas (tree/list/trie)
2326,Spiral Matrix IV,Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(R·C),O(1)-O(R·C),Grid / board canvas
