ID,Problem Title,Optimised Pattern,How to Draw (Opt),Anatomy Bucket
2412,Minimum Money Required Before Transactions,Greedy / Math Accumulator,"Draw a line graph starting at 0, dipping down with every loss. Add a variable 'max_extra_needed' representing the deepest single drop before a recovery.",Graph / state-network canvas
2413,Smallest Even Multiple,Math (Modulo Arithmetic / Bitwise),"Draw a diamond (decision box) containing ""n % 2 == 0?"". Draw a ""Yes"" arrow pointing to 'n', and a ""No"" arrow pointing to '2n'.",Coordinate-plane canvas
2414,Length of the Longest Alphabetical Continuous Substring,Single Pass / State Tracking (Current Streak),Write the string. Draw a solid line under consecutive characters. Break the line when the sequence fails. Write the length above each line segment.,Node-link canvas (tree/list/trie)
2415,Reverse Odd Levels of Binary Tree,DFS/BFS with Symmetrical Dual-Pointers,"Draw a perfect binary tree. Draw curved double-headed arrows swapping nodes at level 1. Then draw curved arrows swapping outer nodes, and inner nodes at level 3.",Node-link canvas (tree/list/trie)
2416,Sum of Prefix Scores of Strings,Trie (Prefix Tree) with Frequency Counters,"Draw a Trie tree structure. Inside each node circle, write a number (the count of times it was visited). Draw a highlighted path down the tree, showing a running sum of those numbers.",Node-link canvas (tree/list/trie)
2417,Closest Fair Integer,Digit DP / Constructive Greedy,"Draw slots [ ][ ][ ][ ]. Fill half with even, half with odd. If sum of digits must be >= N, find the first position to increment.",State-table / recurrence canvas
2418,Sort the People,Hash Map Binding / Array of Objects + Sort,"Draw a 2-column table (Height, Name). Draw a big downward arrow on the Height column labeled ""Sort Descending"", pulling the attached Names along with it.",Lookup-table / bucket canvas
2419,Longest Subarray With Maximum Bitwise AND,Linear Scan (Max Property Observation),Draw the array. Circle the highest numbers. Draw a bracket around the longest consecutive group of those circled numbers.,Lookup-table / bucket canvas
2420,Find All Good Indices,Prefix/Suffix Dynamic Programming (Precomputation),"Draw two arrays below the original. One fills streaks left-to-right, one right-to-left. Highlight indices where both corresponding cells are >= k.",Grid / board canvas
2421,Number of Good Paths,Disjoint Set Union (DSU) + Sorting by Value,"Draw nodes in clusters. As you add a node, draw lines to neighbors with smaller/equal values. Inside each DSU bubble, track `[maxValue: count]`.",Relational table canvas
2422,Merge Operations to Make Array Palindrome,Two Pointers (Greedy),"Draw two fingers at the ends of the array. If the numbers are unequal, draw a circle around the smaller one and its neighbor to ""glue"" them together.",Coordinate-plane canvas
2423,Remove Letter To Equalize Frequency,Frequency of Frequencies (Count Map),"Draw a frequency map (a:2, b:2, c:3). Draw a secondary map (2:2, 3:1). See if adjusting one ""3"" to a ""2"" makes the map uniform.",Lookup-table / bucket canvas
2424,Longest Uploaded Prefix,Persistent Pointer (Amortized Analysis),"Draw an array of boxes. When a number is uploaded, put an 'X' in its box. Keep an arrow 'P' that only slides right when the box it’s looking at gets an 'X'.",Coordinate-plane canvas
2425,Bitwise XOR of All Pairings,XOR Parity Property (Even/Odd Counts),"Draw the two arrays. Write ""Count"" next to them. If Count is even, draw a big '0' or cross out the array. If odd, draw a 'Σ' (XOR sum) symbol.",Formula / invariant canvas
2426,Number of Pairs Satisfying Inequality,Merge Sort (Divide & Conquer) or Fenwick Tree after transforming to (nums1[i]-nums2[i]),Draw two sorted blocks side by side. Draw a sliding pointer on the left block that counts how many values are <= (right_val + diff).,Range / bit-state canvas
2427,Number of Common Factors,GCD + Factor Counting,Draw 'a' and 'b' as overlapping circles. Draw their intersection as 'G'. Draw a tree of factors for 'G'.,Coordinate-plane canvas
2428,Maximum Sum of an Hourglass,Sliding Window (Optimised Summing),"Draw the grid. Draw one hourglass. Use an arrow to show it shifting one column. Show which cells are ""dropped"" and which are ""added"".",Grid / board canvas
2429,Minimize XOR,Greedy Bit Construction,"Draw 32 boxes for bits. Write binary of nums1. Below it, place '1's in 'x' wherever nums1 has '1' (starting from left). If you run out of 'k', stop. If you have extra 'k', fill from right.",Formula / invariant canvas
2430,Maximum Deletions on a String,DP + Longest Common Prefix (LCP) with Rolling Hash or Suffix Array,"Draw a 1D DP array. For each cell `i`, draw arrows to cells `i+j` only if the string repeats. Use a precomputed LCP grid to validate arrows instantly.",Grid / board canvas
2431,Maximize Total Tastiness of Purchased Fruits,3D Dynamic Programming (Knapsack Variant),"Draw a stack of 2D grids. Each grid represents 'Number of Coupons Used'. In each cell, store max tastiness for (money, items).",Container canvas (stack/queue/heap)
2432,The Employee That Worked on the Longest Task,Single Pass Tracking (Max/Min Greedy),"Draw a table with columns: ID, Duration, MaxDuration, BestID. Fill row by row as you read logs.",Strip / timeline / pointer canvas
2433,Find The Original Array of Prefix XOR,XOR Inverse Property,Draw the `pref` array. Draw a 'V' shape between `pref[i]` and `pref[i-1]`. Put an XOR symbol in the V and write the result below.,Formula / invariant canvas
2434,Using a Robot to Print the Lexicographically Smallest String,Greedy + Stack + Suffix Minimums,"Draw three boxes: Input, Stack (vertical), Output. Write suffix mins below Input. Move letters from Input -> Stack -> Output using the rule.",Container canvas (stack/queue/heap)
2435,Paths in Matrix Whose Sum Is Divisible by K,3D Dynamic Programming (Grid + Modulo State),"Draw a grid. In each cell, draw a small array of size `k`. Fill the array using the sums from top and left neighbors (shifted by current cell's value).",Grid / board canvas
2436,Minimum Split Into Subarrays With GCD Greater Than One,Greedy / Running GCD,"Draw the array. Keep a ""Current GCD"" box. For each number, merge it into the box. If the box turns into '1', draw a hard vertical wall, count it, and put the current number into a fresh box.",Formula / invariant canvas
2437,Number of Valid Clock Times,Rule-Based Combinatorics (Independent Slots),Draw 4 empty slots: [ ][ ] : [ ][ ]. Write the number of possibilities in each box based on the characters. Draw an 'X' (multiply) between them.,Strip / timeline / pointer canvas
2438,Range Product Queries of Powers,Precomputation (Prefix Products),"Draw the powers array. Draw a second ""Prefix"" array below it where each cell is the product of everything to the left. Circle two indices to show the division/subtraction logic.",Grid / board canvas
2439,Minimize Maximum Value in Array,Prefix Sum Average (Greedy Ceiling),"Draw bar charts of different heights. Draw an arrow showing ""fluid"" moving from right-side bars to left-side bars. The max height is the highest average seen so far.",Strip / timeline / pointer canvas
2440,Create Components With Same Value,Divisor Search + Post-order DFS,"Draw the tree. Write subtree sums at each node. If a node hits the target `S`, draw a big 'X' on its parent edge and write '0' for the node's contribution upward.",Node-link canvas (tree/list/trie)
2441,Largest Positive Integer That Exists With Its Negative,Hash Set / Two Pointers (after Sort),"Draw an array and a ""Bucket"" (Set). Drop all numbers into the bucket. Then, point at a number in the array and ""look inside"" the bucket for its mirror.",Lookup-table / bucket canvas
2442,Count Number of Distinct Integers After Reverse Operations,Digit Manipulation + Hash Set,Draw a set (circle). Point to a number '123'. Write '123' in the set. Mentally flip it to '321' and write it in the set. Move to next.,Lookup-table / bucket canvas
2443,Sum of Number and Its Reverse,Math (Direct Search is already efficient given N <= 10^5),Draw a number `i` and its mirror `i'`. Draw a '+' sign between them and an '==' sign pointing to `num`. Repeat for `i+1`.,Coordinate-plane canvas
2444,Count Subarrays With Fixed Bounds,Three-Pointer Sliding Window (Tracking Indices),"Draw the array. Use three colored arrows (Red for invalid, Blue for minK, Green for maxK). At each step, count = max(0, min(Blue, Green) - Red).",Coordinate-plane canvas
2445,Number of Nodes With Value One,Prefix Sum on Trees (Parity),"Draw the tree. Write query counts next to nodes. Draw an arrow dropping from root to leaves, accumulating the sum. If sum is odd, write '1'.",Node-link canvas (tree/list/trie)
2446,Determine if Two Events Have Conflict,String Comparison / Line Overlap,Draw two horizontal lines. Label Start/End for each. Check if the start of one is before the end of the other and vice-versa.,Strip / timeline / pointer canvas
2447,Number of Subarrays With GCD Equal to K,Optimal Brute (Observation: GCD only decreases),"Draw an array. Under index 'i', draw a chain of GCD results. Stop drawing the chain as soon as a number < K appears or GCD becomes < K.",Formula / invariant canvas
2448,Minimum Cost to Make Array Equal,Weighted Median / Binary Search on Answer,"Draw a number line with ""weights"" (costs) hanging off each number. Find the point where the scale balances.",Coordinate-plane canvas
2449,Minimum Number of Operations to Make Arrays Similar,Sorting + Parity Segregation,"Draw two funnels: ""Evens"" and ""Odds"". Pour nums inside. Sort them. Draw straight horizontal lines connecting `sorted_nums[i]` to `sorted_target[i]`.",Formula / invariant canvas
2450,Number of Distinct Binary Strings After Operations,Mathematical Observation (Powers of 2),Draw a string. Draw a sliding box of length K. Count how many positions the box can start in. Each position is a bit in a new virtual string.,Strip / timeline / pointer canvas
2451,Odd String Difference,Hash Map Counting (Frequency of Arrays),Draw a bucket for each unique pattern you see. Drop the strings into the buckets. Pick the string from the bucket that has only one occupant.,Lookup-table / bucket canvas
2452,Words Within Two Edits of Dictionary,Optimized Linear Scan (Early Exit),"Write two words vertically aligned. Draw a line between differing characters. Use a counter (1, 2, STOP) to show the early exit logic.",Lookup-table / bucket canvas
2453,Destroy Sequential Targets,Hash Map (Remainder Frequency),"Draw a set of buckets labeled 0, 1, ... (space-1). Drop each number into the bucket corresponding to its remainder. The largest bucket wins.",Lookup-table / bucket canvas
2454,Next Greater Element IV,Two Monotonic Stacks + Priority Queue,"Draw two vertical bins. When a new number is larger than Bin1's top, move the top to Bin2. If larger than Bin2's top, it's the 2nd greater; write it down.",Container canvas (stack/queue/heap)
2455,Average Value of Even Numbers Divisible by Three,Single Pass (Running Sum and Count),"Draw a single loop. Inside, draw two boxes: `S` (sum) and `C` (count). Add to them only if `n % 6 == 0`.",Strip / timeline / pointer canvas
2456,Most Popular Video Creator,Hash Map (Aggregate & Track Max),"Draw a table with columns: Creator, TotalViews, BestVideo, BestVideoViews. Update rows as you process each entry. Highlight rows with the highest TotalViews.",Lookup-table / bucket canvas
2457,Beautiful Number / Minimum Addition to Make Integer Beautiful,Greedy Zero-ing (Place Value Increment),Write the number. Circle the rightmost non-zero digit. Change it to 0 and add 1 to the digit to its left. Re-check the digit sum. Repeat.,Coordinate-plane canvas
2458,Height of Binary Tree After Subtree Removal Queries,DFS + Precomputation (Level-wise Max Depths),"Draw the tree. For each node, write its depth and height. Group nodes by level. For each level, circle the two highest ""height+depth"" values.",Node-link canvas (tree/list/trie)
2459,Sort Array by Moving Items to Empty Space,Graph Cycle Decomposition,Draw the array. Draw an arrow from `nums[i]` to where it belongs. The arrows form loops. Count the nodes in each closed loop.,Node-link canvas (tree/list/trie)
2460,Apply Operations to an Array,In-Place Two-Pointer Swap,"Draw the array. Use an 'R' (Read) and 'W' (Write) arrow. If R sees a number, move it to W and increment both. If R sees 0, only R moves.",Coordinate-plane canvas
2461,Maximum Sum of Distinct Subarrays With Length K,Sliding Window + Frequency Map (or Set),Draw the array with a box of size K. Write the running sum above. Maintain a list of counts for the numbers inside the box. Slide box right.,Lookup-table / bucket canvas
2462,Total Cost to Hire K Workers,Two Min-Heaps (Priority Queues),Draw two inverted trees (Heaps). Draw an array with two pointers moving toward the center. Show nodes moving from array to trees.,Container canvas (stack/queue/heap)
2463,Minimum Total Distance Traveled,DP (Sorted Robots & Factories),"Draw a grid where rows = Robots, cols = Factories. Fill cells by choosing between ""Skip factory"" or ""Use factory for X robots.""",Grid / board canvas
2464,Minimum Subarrays in a Valid Split,1D Dynamic Programming + GCD Check,"Draw the array. For each index, draw backward-pointing arrows to indices where the GCD condition is met. Write the min-cost inside each array cell.",Grid / board canvas
2465,Number of Distinct Averages,Sorting + Two Pointers,"Draw a sorted array. Draw an arrow at index 0 and index N-1. Move them toward the center one step at a time, writing the sum of the pointed values.",Coordinate-plane canvas
2466,Count Ways To Build Good Strings,1D Dynamic Programming (Climbing Stairs Variant),"Draw a line from 0 to 'high'. For a point 'i', draw two backward ""jump"" arrows of lengths 'zero' and 'one'. Add the values at the landing spots.",State-table / recurrence canvas
2467,Most Profitable Path in a Tree,Two-Pass DFS (Time Map + Profit DFS),"Draw the tree. Mark Bob's path nodes with `t=0, 1, 2...`. While running Alice's DFS, compare her current depth with Bob's recorded time at that node.",Node-link canvas (tree/list/trie)
2468,Split Message Based on Limit,Math (Suffix Length Precalculation),"Write the equation: `k * limit - overhead >= len(msg)`. Draw a table of overheads for ranges (1-9, 10-99, etc.).",Formula / invariant canvas
2469,Convert the Temperature,Arithmetic Computation,"Draw a box with 'Celsius' entering and an array `[K, F]` exiting. Write the formulas inside the box.",Formula / invariant canvas
2470,Number of Subarrays With LCM Equal to K,Optimized Brute Force with LCM Early Exit,"Draw the array. For each start index, draw a sequence of ""LCM results."" Mark an 'X' where the result becomes > K or indivisible.",Formula / invariant canvas
2471,Minimum Number of Operations to Sort a Binary Tree by Level,BFS + Cycle Decomposition (Minimum Swaps),"Draw the level array. Draw an arrow from each element's current index to its sorted index. Group arrows into ""closed loops"" (cycles).",Node-link canvas (tree/list/trie)
2472,Maximum Number of Non-overlapping Palindrome Substrings,DP / Center Expansion + Greedy,"Draw the string. Pick a center. Expand. As soon as the bracket width hits K (or K+1 for even), snap it shut, count it, and jump your scanner past the end of that bracket.",Node-link canvas (tree/list/trie)
2473,Minimum Cost to Buy Apples,Multi-Source Dijkstra / Graph Reversal,Draw a giant cloud (Super Source). Draw arrows dropping from the cloud down to every city holding an apple. Run the pathfinding outwards from there.,Graph / state-network canvas
2474,Customers With Strictly Increasing Purchases (SQL),Window Functions (LAG / Difference),"Draw a timeline. Write purchase totals above years. Draw a minus sign between adjacent years. If the result is positive AND years are consecutive, it passes.",Relational table canvas
2475,Number of Unequal Triplets in Array,Frequency Counting + Combinatorics,"Draw a frequency table. Draw three boxes: ""Past"", ""Current"", ""Future"". As you iterate through the table, slide frequencies between boxes and multiply.",Lookup-table / bucket canvas
2476,Closest Nodes Queries in a Binary Search Tree,In-order Traversal + Binary Search (Sorted Array),"Draw a tree. Below it, draw a straight line (array) where the tree nodes fall into place. Mark the query point 'x' on the line and identify neighbors.",Node-link canvas (tree/list/trie)
2477,Minimum Fuel Cost to Report to the Capital,DFS + Subtree Size Math,"Draw a tree. At each node, write the count of people it ""sends"" upward. Draw fuel canisters on the edges based on `count/seats`.",Node-link canvas (tree/list/trie)
2478,Number of Beautiful Partitions,2D Dynamic Programming with Prefix Sum Optimization,Draw a grid (Indices x Number of Splits). Fill each cell by referencing a running sum of the previous split count row.,Grid / board canvas
2479,Maximum XOR of Two Non-Overlapping Subtrees,DFS + Trie (Bitwise),"Draw the tree. On the right, draw a Trie (binary tree of 0s and 1s). As you leave a node in DFS, push its sum into the Trie. For the current node, query the Trie for the opposite bits.",Node-link canvas (tree/list/trie)
2480,Form a Chemical Bond (SQL),CROSS JOIN,"Draw a column of Metals and a row of Non-Metals. Draw a grid where they intersect, forming the bonds.",Relational table canvas
2481,Minimum Cuts to Divide a Circle,Parity-Based Math (Even/Odd Geometry),"Draw a circle. Draw 4 lines (8 pieces). Draw a circle. Draw 3 lines (3 pieces, center-to-edge).",Graph / state-network canvas
2482,Difference Between Ones and Zeros in Row and Column,Precomputation (Row/Col Sum Arrays),"Draw a grid. Outside the rows, draw a column of sums. Below the columns, draw a row of sums. Fill the grid by adding the corresponding side-sums.",Grid / board canvas
2483,Minimum Penalty for a Shop,Prefix Sums / Single Pass Logic,"Draw the 'Y/N' string. Below it, write a running score. Every 'Y' is a -1, every 'N' is a +1. Circle the lowest number in the sequence.",Coordinate-plane canvas
2484,Count Palindromic Subsequences,Prefix/Suffix DP (Length 5),"Draw the string. Pick a middle letter. Look Left: Count occurrences of ""12"", ""13"", etc. Look Right: Count occurrences of ""21"", ""31"". Multiply the matches.",State-table / recurrence canvas
2485,Find the Pivot Integer,Math (Perfect Square Property),Draw a triangle representing the sum. Cut it. Solve `x^2 = n(n+1)/2`.,Relational table canvas
2486,Append Characters to String to Make Subsequence,Two-Pointer Greedy Matching,Draw strings `s` and `t`. Draw arrows from characters in `s` to their matching partners in `t`. See where the arrows stop in `t`.,Coordinate-plane canvas
2487,Remove Nodes From Linked List,Monotonic Stack or Reverse Recursion,"Draw a linked list. Imagine a wall moving from right to left. The wall height is the max value seen. If a node is shorter than the wall, it gets crushed (removed).",Container canvas (stack/queue/heap)
2488,Count Subarrays With Median K,Prefix Sums + Frequency Map (Balance Tracking),"Draw a line of numbers. Write +1, 0, -1 above them. Create a Map. On the left of 'k', store prefix sum frequencies. On the right, check for matching sums.",Lookup-table / bucket canvas
2489,Number of Substrings With Fixed Ratio,Prefix Sum + Hash Map (Math Restructuring),"Draw the string. Maintain the balance score. If the score is 3, and you see 3 again later, the slice between them is valid. Use a Map to count frequencies of scores.",Node-link canvas (tree/list/trie)
2490,Circular Sentence,Single Pass (Space Detection),Write the sentence. Draw vertical bars at every space. Put an '=' sign above the space if the letters on the left and right match.,Strip / timeline / pointer canvas
2491,Divide Players Into Teams of Equal Skill,Sorting + Two Pointers,"Draw a sorted array. Draw an arrow from 0 and N-1. Move them inward. Write the sum of the pair. If consistent, multiply and add.",Coordinate-plane canvas
2492,Minimum Score of a Path Between Two Cities,Graph Connectivity (BFS/DFS or Union-Find),Draw a graph. Color all nodes reachable from city 1. Look at every edge connected to a colored node. Pick the one with the smallest number.,Node-link canvas (tree/list/trie)
2493,Divide Nodes Into the Maximum Number of Groups,Bipartite Check + Component BFS Max Depth,"Draw the components. For each, draw two BFS trees starting at different nodes. Write the height of each tree. Circle the tallest tree per component.",Node-link canvas (tree/list/trie)
2494,Merge Overlapping Events in the Same Hall,Sorting + Linear Interval Merge,"Draw a timeline. Plot intervals for one hall. If two bars overlap horizontally, draw a single thick bar spanning the total start-to-end range.",Strip / timeline / pointer canvas
2495,Number of Subarrays Having Even Product,Complementary Counting (Total - Odd),"Draw the array. Circle the ""Islands"" of consecutive odd numbers. For an island of length L, write `L(L+1)/2` inside. Subtract these from the total.",Coordinate-plane canvas
2496,Maximum Value of a String in an Array,Linear Scan (Manual Digit Check),"Draw a string. Check each character '0'-'9'. If any char is 'a'-'z', immediately draw a line to ""Length"". Otherwise, draw to ""Value"".",Formula / invariant canvas
2497,Maximum Star Sum of a Graph,Greedy (Sort Neighbors per Node),"Draw a node and its neighbors with values. Cross out negative neighbors. Rank the positive ones: 1st, 2nd, 3rd. Circle the top K.",Node-link canvas (tree/list/trie)
2498,Frog Jump II,Greedy (Skipping Alternate Stones),Draw a line of stones. Draw blue arcs over the top skipping one stone each. Draw red arcs underneath filling in the gaps.,Strip / timeline / pointer canvas
2499,Minimum Total Cost to Make Arrays Unequal,Greedy / Majority Element,"Draw the bad indices in a box. Find the most common number. If it dominates, look at the rest of the array. Find the smallest indices where `A[j] != B[j]` and neither is the dominant number. Swap them.",Strip / timeline / pointer canvas
2500,Delete Greatest Value in Each Row,Sorting Rows,Draw a grid. Show arrows sorting each row. Draw a vertical box over the last column and pick the largest number. Move the box one column left.,Grid / board canvas
2501,Longest Square Streak in an Array,Hash Set + Greedy Growth,"Draw a Hash Set. Point to '2'. Is '4' in? Yes. Is '16' in? Yes. Is '256' in? No. Streak = 3. Mark all as ""visited"" or skip to avoid redo.",Lookup-table / bucket canvas
2502,Design Memory Allocator,1D Array tracking with consecutive free-block counting and slice assignment.,"Draw a contiguous row of squares. Fill squares with mID values. To allocate, scan left-to-right with a tally of empty squares, resetting the tally if a filled square is hit.",State-table / recurrence canvas
2503,Maximum Number of Points From Grid Queries,Offline Queries (Sort Queries) + Min-Heap (Priority Queue) + BFS to prevent re-processing nodes.,"Draw the grid. Circle the cells currently added to the min-heap. Cross out a cell when it is popped and tallied, then circle its unvisited valid neighbors.",Container canvas (stack/queue/heap)
2504,Concatenate the Name and the Profession (SQL),"SQL String Functions ( CONCAT , LEFT ) running directly on the database engine.","Draw a table with name and profession . Draw a funnel that takes name and profession[0] , outputting the merged string into a new output column.",Relational table canvas
2505,Bitwise OR of All Subsequence Sums,"Bit contribution counting array tracking 1s, coupled with right-shift carry propagation logic.",Draw a table with 64 columns. Write the binary form of the array numbers in rows. Count the 1s in each column. Shift count / 2 to the left column to simulate carries.,Formula / invariant canvas
2506,Count Pairs Of Similar Strings,Bitmasking for character presence + Hash Map frequency counting.,"Write out a string. Below it, write a 26-slot array of 0s and 1s. Convert that array to a single decimal number. Group matching numbers together and use the formula n*(n-1)/2 .",Range / bit-state canvas
2507,Smallest Value After Replacing With Sum of Prime Factors,Simulation + Prime Factorization,Draw a large number block. Smash it into its prime building blocks. Add their values together to form a new block. Keep smashing until the block stops shrinking.,Graph / state-network canvas
2508,Add Edges to Make Degrees of All Nodes Even,"Graph Theory (Degree counting). Odd-degree nodes must total 0, 2, or 4. Check specific adjacency rules.","Extract *only* the nodes with odd degrees (ignoring the rest of the graph). Draw lines between them if they don't share an edge, or to a shared ""dummy"" even node.",Node-link canvas (tree/list/trie)
2509,Cycle Length Queries in a Tree,Lowest Common Ancestor (LCA) via integer division (node / 2) in a Complete Binary Tree.,"Write the two numbers. Draw an upward arrow from the larger number, writing its value divided by 2. Repeat until both numbers match. Count the arrows.",Node-link canvas (tree/list/trie)
2510,Check if There is a Path With Equal Number of 0's And 1's,Dynamic Programming (DP) tracking the minimum and maximum possible sum of `1s - 0s` at each cell.,"Draw the grid. Inside cell (0,0), write its value as `[val, val]`. Moving right and down, add the current cell's value to the `[min, max]` of the previous cells. Merge bounds.",Grid / board canvas
2511,Maximum Enemy Forts That Can Be Captured,Two Pointers / Single-Pass Array Traversal checking alternating non-zero boundary states.,"Draw the array. Use your index finger as an anchor tracking the last seen 1 or -1 . Slide another finger forward. When a new non-zero is found, calculate the gap if they have opposite signs.",Coordinate-plane canvas
2512,Reward Top K Students,Hash Set for O(1) word lookup + Custom Comparator Sorting (or Min-Heap for top K selection).,"Make a T-chart for positive/negative words. Write a student ID. Read their report, marking tally strokes (+3 or -1). Finally, physically re-order the student IDs based on final tallies.",Container canvas (stack/queue/heap)
2513,Minimize the Maximum of Two Arrays,Binary Search on Answer Space + Number Theory (Inclusion-Exclusion Principle using LCM).,"Draw a number line. Pick a midpoint m . Calculate valid counts using integer division. If valid, cross out the right half (search smaller). Else, cross out the left half.",Coordinate-plane canvas
2514,Count Anagrams,Combinatorics (Permutations with Repetition) + Modular Multiplicative Inverse.,"Write the combinatorics formula fracn!c_1! c_2! dots under each word. Calculate each fraction. Multiply all the results together.





[Image of Permutations with Repetition formula]",Formula / invariant canvas
2515,Shortest Distance to Target String in a Circular Array,Linear Array Scan with Modulo Arithmetic (comparing absolute distance vs circular wrap-around distance).,Draw the array as a straight line. Draw a curved arrow from start to target (direct distance). Draw another curved arrow going out one end and wrapping back into the other (wrap-around distance). Keep the smaller number.,Formula / invariant canvas
2516,Take K of Each Character From Left and Right,Inverse Sliding Window (Two Pointers) seeking the maximum middle subarray to *leave behind*.,"Draw the string. Place two brackets `[ ]` representing the window. Keep a tally of characters *outside* the brackets. Move the right bracket right. If outside tallies drop below K, move the left bracket right until valid again.",Coordinate-plane canvas
2517,Maximum Tastiness of Candy Basket,Sort the array + Binary Search on the Answer Space + Greedy Checking.,"Draw a sorted array. Write a target gap `G`. Circle the first number. Scan right until you find a number >= first + `G`. Circle it. Repeat. Count circled items. If count >= K, increase `G`.",Coordinate-plane canvas
2518,Number of Great Partitions,"0/1 Knapsack Dynamic Programming (Inverse Problem). Find subsets summing to strictly less than K, and subtract from total subsets.","Draw a row of K boxes (indices 0 to K-1). Set box 0 to 1 (one way to make sum 0). Pick an array number `num`. Starting from the right of your boxes, add the value from index `i - num` to index `i`.",State-table / recurrence canvas
2519,Count the Number of K-Big Indices,Two Passes (Prefix and Suffix) using Max-Heaps of size K.,"Draw the array. Draw a ""Heap Box"" that holds max K items. Sweep left-to-right. Write the max item in the box above the current array number. Sweep right-to-left doing the same. Circle indices where the array number is larger than both written maxes.",Container canvas (stack/queue/heap)
2520,Count the Digits That Divide a Number,Mathematical Modulo-10 Digit Extraction.,"Write `num = 124`. Write `temp = 124`. Look at the last digit (4). Does 124 % 4 == 0? Yes, tally 1. Cross out the 4. Now `temp = 12`. Repeat.",Formula / invariant canvas
2521,Distinct Prime Factors of Product of Array,On-the-fly Trial Division + Hash Set deduplication.,"Draw the array. Below each number, draw a mini factor tree. Circle the prime leaf nodes. Draw arrows moving all circled primes into a single box (the Set). Count the unique numbers inside the box.",Node-link canvas (tree/list/trie)
2522,Partition String Into Substrings With Values at Most K,Greedy Algorithm / String Parsing with continuous accumulation.,"Write the string. Slide your finger over the numbers, reading the growing number aloud. When the spoken number is bigger than K, draw a vertical line before the last digit, tally 1, and resume reading from the line.",Node-link canvas (tree/list/trie)
2523,Closest Prime Numbers in Range,Sieve of Eratosthenes (Precomputation) + Linear Array Scan.,"Write numbers 1 to right in a grid. Cross out multiples. Write the remaining uncrossed primes in a list. Draw a jumping arrow between them, writing down the difference. Keep the smallest difference.",Grid / board canvas
2524,Maximum Frequency Score of a Subarray,Fixed Sliding Window + Persistent Hash Map (or Array Cache) for O(1) incremental score updates.,"Draw the array. Put a physical, bounded box over K elements. Keep a tally sheet beside it. Slide the box right by 1 index. Add a tally for the new number, erase a tally for the old left number.",Lookup-table / bucket canvas
2525,Categorize Box According to Criteria,Pre-evaluated Boolean Variables mapping to strict logic combinations.,Write Bulky = [True/False] . Write Heavy = [True/False] . Look at the two answers and immediately pick the category based on the word combination without re-doing the math.,Lookup-table / bucket canvas
2526,Find Consecutive Integers from a Data Stream,State Machine / Single Counter tracking contiguous valid states.,"Write the target `value` and target `k`. Draw a box for your `count`. As a number arrives, if it matches, draw a tally mark. If it fails, erase all tallies. If tallies reach `k`, you win.",Graph / state-network canvas
2527,Find Xor-Beauty of Array,Mathematical Bitwise Cancellation (Symmetry). The expression simplifies to just XORing all elements in the array.,Write the array of numbers. Put a `^` (XOR) symbol between all of them. Calculate them left to right like a simple chain of dominoes.,Grid / board canvas
2528,Maximize the Minimum Powered City,Binary Search on the Answer Space + Greedy Sliding Window.,"Draw a number line for the possible answers. Pick a middle number. Do a linear sweep across the cities, adding ""temporary"" stations when needed. If you run out of stations, cross out the right half of the number line.",Strip / timeline / pointer canvas
2529,Maximum Count of Positive Integer and Negative Integer,"Two separate Binary Searches (Upper Bound for negatives, Lower Bound for positives) leveraging the sorted nature of the array.","Draw the array. Pick the middle element. If it's negative, jump halfway to the right. If positive, jump halfway to the left. Pinpoint exactly where the numbers switch from negative to 0 to positive.",Coordinate-plane canvas
2530,Maximal Score After Applying K Operations,Max-Heap (Priority Queue) to maintain the largest element dynamically.,"Draw a pyramid of numbers with the biggest on top. Take the top number, add it to your score, divide it by 3, and drop it back into the pyramid, letting it sink to its proper level. Repeat.",Container canvas (stack/queue/heap)
2531,Make Number of Distinct Characters Equal,26x26 Frequency Map Simulation.,"Draw two frequency tables (26 rows). Pick a row from Table 1 and a row from Table 2. Mentally decrement one, increment the other, and count how many rows have a value > 0.",Lookup-table / bucket canvas
2532,Time to Cross a Bridge,Event-Driven Simulation using 4 Priority Queues (Heaps).,"Draw a bridge. On each side, draw two boxes (Waiting and Working). Use arrows to move worker IDs between boxes. Always pick the worker from the ""Waiting"" box with the highest efficiency value.",Container canvas (stack/queue/heap)
2533,Number of Good Binary Strings,Linear Dynamic Programming (DP) - Staircase variation.,"Draw a row of boxes from 0 to maxLen . Box 0 = 1. For each box i , look back zero steps and one steps. Add those two numbers and write the result in box i .",State-table / recurrence canvas
2534,Time Taken to Cross the Door,Two Queues (Enter and Exit) with State Tracking.,"Draw two columns: ""Enter"" and ""Exit"". Place person IDs in them sorted by arrival time. Use a ""Last State"" variable (0, 1, or Idle). Pop from the top of the correct column based on the state.",Container canvas (stack/queue/heap)
2535,Difference Between Element Sum and Digit Sum of an Array,Single-Pass Accumulation with Modulo Digit Extraction.,"Draw two columns: ""Element Sum"" and ""Digit Sum"". For each number in the array, write the full number in column 1, and write its individual digits in column 2. Add both columns and subtract.",Formula / invariant canvas
2536,Increment Submatrices by One,2D Difference Array (Prefix Sums).,"Draw a grid. Put a '+1' at the top-left of the query box and a '-1' just outside the top-right. Do a running sum across the row to ""fill"" it, then a running sum down the columns.",Grid / board canvas
